"rank";"playerName";"expressoNb";"profit";"totalBuyin";"totalJackpot";"places1";"places2";"places3";"totalX2";"totalX4";"totalX6";"totalX10";"totalX20";"totalX50";"totalX200";"totalX1000";"totalX10000"
"127";"pollo401";"141";"-1200";"4900";"12250";"41";"46";"54";"108";"27";"6";"0";"0";"0";"0";"0";"0"
"128";"Muxa";"140";"750";"3600";"10200";"64";"37";"39";"103";"21";"14";"2";"0";"0";"0";"0";"0"
"129";"DrPinouzzzz";"139";"425";"3675";"10400";"55";"38";"46";"103";"24";"10";"2";"0";"0";"0";"0";"0"
"130";"alinou53";"139";"-1600";"5750";"15350";"35";"50";"54";"107";"22";"9";"1";"0";"0";"0";"0";"0"
"131";"StepHy-KinGz";"139";"75";"3525";"9100";"50";"51";"38";"113";"17";"6";"3";"0";"0";"0";"0";"0"
"132";"BRUBRU17";"139";"-175";"4225";"11700";"42";"46";"51";"104";"23";"10";"1";"1";"0";"0";"0";"0"
"133";"tddr";"139";"-75";"3475";"9900";"49";"42";"48";"95";"29";"15";"0";"0";"0";"0";"0";"0"
"134";"djoebile";"138";"500";"3900";"10500";"57";"47";"34";"101";"28";"8";"1";"0";"0";"0";"0";"0"
"135";"bnak";"138";"-1050";"5350";"13400";"45";"44";"49";"109";"22";"7";"0";"0";"0";"0";"0";"0"
"136";"bab3006";"138";"550";"5100";"13350";"57";"42";"39";"105";"26";"7";"0";"0";"0";"0";"0";"0"
"137";"JULIEN2727";"137";"19200";"6250";"40750";"45";"26";"66";"109";"19";"8";"0";"0";"0";"0";"1";"0"
"138";"TIREX01";"137";"125";"3425";"8800";"52";"36";"49";"110";"19";"6";"2";"0";"0";"0";"0";"0"
"139";"allan008";"136";"-1350";"3400";"8800";"36";"61";"39";"107";"20";"8";"1";"0";"0";"0";"0";"0"
"140";"Yousdi10";"136";"-75";"3775";"10200";"50";"39";"47";"104";"20";"11";"0";"1";"0";"0";"0";"0"
"141";"KisSMarilynM";"136";"-375";"4025";"11150";"41";"40";"55";"99";"25";"10";"2";"0";"0";"0";"0";"0"
"142";"1FlipMore";"136";"-500";"5350";"14200";"49";"46";"41";"102";"27";"7";"0";"0";"0";"0";"0";"0"
"143";"TGvieux";"135";"-400";"4600";"12600";"47";"39";"49";"100";"23";"9";"3";"0";"0";"0";"0";"0"
"144";"Paris_Hilton";"135";"-425";"4375";"11100";"50";"38";"47";"111";"11";"12";"1";"0";"0";"0";"0";"0"
"145";"ZLATEMMA";"135";"575";"4025";"16850";"46";"40";"49";"101";"23";"7";"1";"2";"0";"1";"0";"0"
"146";"SonioS55";"135";"-75";"3775";"11000";"53";"31";"51";"95";"32";"6";"0";"2";"0";"0";"0";"0"
"147";"TYSON2205";"135";"50";"5200";"13900";"49";"50";"36";"103";"23";"9";"0";"0";"0";"0";"0";"0"
"148";"Cop-y-33";"134";"-1550";"4900";"13200";"37";"45";"52";"96";"27";"11";"0";"0";"0";"0";"0";"0"
"149";"tintin11 x";"134";"-875";"3525";"9750";"38";"57";"39";"97";"23";"14";"0";"0";"0";"0";"0";"0"
"150";"Milan&Ines";"133";"-875";"5375";"13350";"43";"44";"46";"105";"22";"6";"0";"0";"0";"0";"0";"0"
"151";"TIMES SQUARE";"132";"850";"3850";"11150";"44";"45";"43";"97";"24";"9";"1";"1";"0";"0";"0";"0"
"152";"WERZOU";"131";"-800";"5700";"14950";"43";"26";"62";"97";"27";"7";"0";"0";"0";"0";"0";"0"
"153";"FISH&CHEAP7";"131";"275";"3675";"9450";"57";"35";"39";"96";"30";"5";"0";"0";"0";"0";"0";"0"
"154";"Nonol1512";"131";"-525";"4025";"10750";"47";"48";"36";"102";"18";"11";"0";"0";"0";"0";"0";"0"
"155";"Cindy40170";"130";"-925";"3275";"8200";"38";"52";"40";"103";"21";"6";"0";"0";"0";"0";"0";"0"
"156";"FAFOU91";"130";"-350";"3350";"8850";"46";"42";"42";"101";"17";"11";"1";"0";"0";"0";"0";"0"
"157";"jmp123";"129";"-450";"4400";"13050";"47";"35";"47";"90";"26";"10";"3";"0";"0";"0";"0";"0"
"158";"Rohnino";"129";"-925";"4675";"12900";"35";"36";"58";"94";"23";"11";"1";"0";"0";"0";"0";"0"
"159";"chamath61";"129";"50";"3800";"10150";"50";"43";"36";"97";"23";"9";"0";"0";"0";"0";"0";"0"
